,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
356,Bārsi,18.2333,75.7,75.76,78,65,11.41,IN,1631761107
357,Umm Kaddadah,13.6017,26.6876,85.05,29,95,1.52,SD,1631761108
358,Anloga,5.7947,0.8973,77.22,89,77,9.62,GH,1631761048
359,Muzhi,65.3667,64.6667,41.34,84,86,12.37,RU,1631761111
360,Choya,52.0108,86.5467,61.65,47,54,2.82,RU,1631761112
361,Bowen,-20.0167,148.2333,77.22,50,0,15.39,AU,1631761114
362,Taldan,53.6667,124.8,55.47,73,43,13.53,RU,1631761115
363,Nueva Italia,-25.6167,-57.5,65.43,51,95,4.76,PY,1631761116
364,Broome,-17.9667,122.2333,82.35,65,0,10.36,AU,1631761118
365,Deputatsky,69.3,139.9,44.22,71,100,4.65,RU,1631761119
366,Bantou,26.2151,117.4893,89.8,56,12,2.19,CN,1631761121
367,Russell,-35.2613,174.1236,63.23,93,13,16.2,NZ,1631761122
368,Adrar,25.75,-1.0,91.74,11,0,7.85,DZ,1631761122
369,Meïganga,6.5167,14.3,64.51,95,100,2.48,CM,1631761037
370,Yelizovo,53.1873,158.3805,64.54,42,0,6.71,RU,1631761124
371,Mollendo,-17.0231,-72.0147,60.08,86,94,10.0,PE,1631761126
372,Tolyatti,53.5303,49.3461,43.16,67,100,7.34,RU,1631760943
373,Honningsvåg,70.9821,25.9704,43.32,77,47,9.42,NO,1631761128
374,Nelson Bay,-32.7167,152.15,59.11,88,48,1.01,AU,1631761129
375,Killybegs,54.6333,-8.45,55.45,87,86,6.51,IE,1631761130
376,Awjilah,29.1081,21.2869,72.7,42,0,8.43,LY,1631761131
377,Shubarshi,48.5872,57.1869,65.82,46,85,10.13,KZ,1631761133
378,Jalu,29.0331,21.5482,72.36,44,0,8.41,LY,1631761134
379,Kavieng,-2.5744,150.7967,82.76,74,95,12.21,PG,1631761136
380,Pastavy,55.1168,26.8326,40.14,89,6,5.01,BY,1631761031
381,Ashtian,34.5217,50.0019,66.22,13,0,7.85,IR,1631761138
382,Orotukan,62.2667,151.7,53.67,57,37,4.29,RU,1631761140
383,Oussouye,12.485,-16.5469,77.92,88,73,5.61,SN,1631761142
384,College,64.8569,-147.8028,52.92,47,1,6.91,US,1631761016
385,Dhrāngadhra,22.9833,71.4667,81.61,83,41,8.37,IN,1631761144
386,Mujiayingzi,42.1167,118.7833,65.59,54,100,13.29,CN,1631761144
387,Carnarvon,-30.9683,22.133,42.75,77,4,20.65,ZA,1631761144
388,Dzhebariki-Khaya,62.2167,135.8,59.36,55,100,2.39,RU,1631761146
389,Kuytun,54.3419,101.5036,43.63,95,100,2.37,RU,1631761148
390,Ponta Delgada,37.7333,-25.6667,65.12,88,20,3.44,PT,1631761149
391,Manakara,-22.1333,48.0167,65.16,93,14,5.46,MG,1631761151
392,Sovetskiy,61.3614,63.5842,42.13,96,100,11.92,RU,1631761135
393,Harlingen,53.1748,5.4224,60.03,98,100,14.9,NL,1631760956
394,Arrondissement de Libourne,44.9167,-0.25,64.2,97,2,4.7,FR,1631761154
395,Mina,26.0011,-100.5299,83.62,67,38,5.46,MX,1631760865
396,Lac du Bonnet,50.2536,-96.0612,58.78,80,70,14.16,CA,1631761030
397,Necochea,-38.5473,-58.7368,44.04,75,0,10.58,AR,1631761157
398,Aloleng,16.1307,119.7824,86.29,70,56,6.33,PH,1631761159
399,Lufilufi,-13.8745,-171.5986,91.18,78,15,20.6,WS,1631760878
400,Banda Aceh,5.5577,95.3222,83.73,63,100,4.83,ID,1631761160
401,Aitape,-3.1374,142.3475,78.21,88,100,8.59,PG,1631761160
402,Lewisporte,49.2499,-55.0482,51.8,83,100,11.45,CA,1631761031
403,Orlik,52.5178,99.825,53.58,51,65,7.96,RU,1631761161
